record_id,scenario,expected_annual_loss_nzd,events_exposed,OBJECTID,asset_type,asset_group,asset_id,VALIDATIONSTATE,GlobalID,description,SITE,site_description,local_board,STREETNAME,STREETNUMBER,city,replacement_value_nzd,criticality_score,priority_score,risk_band
park-1380,slr_1m_mitigated,0.0,0,1380,Playground - Public Access,Playground Location,11418-L100-230-EXW-001,3,f1786f54-75f6-4d78-b285-6c43be99d51a,PS_Playground,11418,Lawson Park,Whau,Willerton Avenue,38,Auckland,300000.0,2,0.0,No modelled exposure
park-1382,slr_1m_mitigated,0.0,0,1382,Playground - Public Access,Playground Location,11273-L100-230-EXW-002,3,36e31342-a674-4104-862b-30d6ace619d3,PS_Playground (Whole) - Northern Boat,11273,Orewa Reserve,Hibiscus and Bays,Hibiscus Coast Highway,277,Auckland,300000.0,2,0.0,No modelled exposure
park-1383,slr_1m_mitigated,0.0,0,1383,Playground - Public Access,Playground Location,20800-L100-230-EXW-001,3,266feb6f-3a55-47ab-a6f5-64787715c20c,PS_Playground (Whole)-,20800,Vandeleur Reserve,Kaipatiki,Vandeleur Avenue,39,Auckland,300000.0,2,0.0,No modelled exposure
park-1384,slr_1m_mitigated,0.0,0,1384,Playground - Public Access,Playground Location,22405-L100-230-EXW-001,3,e2961597-970a-4e9b-b4ba-0ad97b998a0f,PS_Playground (Whole)-,22405,Cooper - Lea Reserve,Hibiscus and Bays,Cooper Road,17,Auckland,300000.0,2,0.0,No modelled exposure
park-1385,slr_1m_mitigated,0.0,0,1385,Playground - Public Access,Playground Location,22917-L100-230-EXW-001,3,06ecd448-0463-4727-91a1-6e4a50020140,PS_Playground-Not to include in total Ar,22917,Pohutukawa Park (Whitford),Franklin,Whitford-Maraetai Road,22R,Auckland,300000.0,2,0.0,No modelled exposure
park-1386,slr_1m_mitigated,0.0,0,1386,Playground - Public Access,Playground Location,11460-L100-230-EXW-001,3,7eac9a8a-a334-4cdd-b1bc-cb1bddcf2dd8,PS_Playground Scout Hall,11460,Tui Glen Reserve,Henderson-Massey,Claude Brookes Drive,2,Auckland,300000.0,2,0.0,No modelled exposure
park-1387,slr_1m_mitigated,0.0,0,1387,Playground - Public Access,Playground Location,10936-L100-230-EXW-001,3,c2dadbee-1564-41c1-a4d7-2fafe9d88a44,PS_Playground (Whole)-,10936,Collins Park,Upper Harbour,Greenhithe Road,15,Auckland,300000.0,2,0.0,No modelled exposure
park-1388,slr_1m_mitigated,0.0,0,1388,Playground - Public Access,Playground Location,12940-L100-230-EXW-001,3,70734978-f43a-45b6-8c35-6c24dff816cb,PS_Playground (Whole)-,12940,Stredwick Reserve,Hibiscus and Bays,Stredwick Drive,70,Auckland,300000.0,2,0.0,No modelled exposure
park-1389,slr_1m_mitigated,0.0,0,1389,Playground - Public Access,Playground Location,20841-L100-230-EXW-001,3,fb4638b8-98a6-4763-8277-ed468b4f91e1,PS_Playground,20841,Kensington Gardens,Henderson-Massey,South Kensington Way,2,Auckland,300000.0,2,0.0,No modelled exposure
park-139,slr_1m_mitigated,0.0,0,139,Library,Building Level 3,10258-B001-151,3,081572ed-ad1e-4eda-93fb-7517496b3d34,Glen Innes Community Library,10258,Ruapotaka Reserve,Maungakiekie-Tamaki,Line Road,96-108,Auckland Central,15000000.0,5,0.0,No modelled exposure
park-1390,slr_1m_mitigated,0.0,0,1390,Playground - Public Access,Playground Location,11490-L100-230-EXW-001,3,d80b1bf2-ff33-4941-8df1-94a57db00abb,PS_Playground,11490,Mason Park,Whau,Fruitvale Road,13,Auckland,300000.0,2,0.0,No modelled exposure
park-1391,slr_1m_mitigated,0.0,0,1391,Playground - Public Access,Playground Location,21909-L100-230-EXW-001,3,0bbdea5a-1a8f-4c50-bceb-c88bba3db347,PS_Playground (Whole)-,21909,Oak Park,Upper Harbour,Oakpark Place,21,Auckland,300000.0,2,0.0,No modelled exposure
park-1392,slr_1m_mitigated,0.0,0,1392,Playground - Public Access,Playground Location,20246-L100-230-EXW-001,3,6c8d0791-a673-4d03-b136-fa786d46e37b,PS_Playground,20246,Clydesdale Park,Howick,Leicester Parade,16R,Auckland,300000.0,2,0.0,No modelled exposure
park-1393,slr_1m_mitigated,0.0,0,1393,Playground - Public Access,Playground Location,21422-L100-230-EXW-001,3,7165bafb-06a9-417d-824a-bf6b33179e84,PS_Playground,21422,Vickers Park,Mangere-Otahuhu,Convair Crescent,48R,Auckland,300000.0,2,0.0,No modelled exposure
park-1394,slr_1m_mitigated,0.0,0,1394,Playground - Public Access,Playground Location,10887-L100-230-EXW-001,3,4c66c705-efc1-4075-9687-b80399226edc,PS_Playground,10887,Te Puru Park,Franklin,Whitford Maraetei Road,954R,Auckland,300000.0,2,0.0,No modelled exposure
park-1395,slr_1m_mitigated,0.0,0,1395,Playground - Public Access,Playground Location,22401-L100-230-EXW-001,3,b8888411-ea1c-45af-9dc1-c8f6e8f485d5,PS_Playground (Whole)-,22401,Hardley Reserve,Hibiscus and Bays,Hardley Avenue,6,Auckland,300000.0,2,0.0,No modelled exposure
park-1396,slr_1m_mitigated,0.0,0,1396,Playground - Public Access,Playground Location,22047-L100-230-EXW-001,3,7571e13d-f83f-4bd6-861c-7a8192c7b13c,PS_Playground,22047,Flinders Park,Otara-Papatoetoe,Flinders Place,16R,Auckland,300000.0,2,0.0,No modelled exposure
park-1397,slr_1m_mitigated,0.0,0,1397,Playground - Public Access,Playground Location,11391-L100-230-EXW-001,3,1f77df08-a289-476e-bb9d-2617feb48b8c,PS_Playground,11391,Henderson Valley Park,Henderson-Massey,Henderson Valley Road,201A,Auckland,300000.0,2,0.0,No modelled exposure
