record_id,asset_id,description,site_description,asset_type,asset_group,local_board,planning_area,replacement_value_nzd,criticality_score,coastal_current_eal_nzd,coastal_slr_1m_eal_nzd,liquefaction_overlap_matches,liquefaction_vulnerability,liquefaction_mapped,liquefaction_review_flag,liquefaction_unrecognised_category,coastal_current_exposed,coastal_slr_1m_exposed,screening_flag_count,screening_attention
park-808,23222-B161-161,Toilet-East Tamaki Bus Shelter,Otara Town Centre,Public Toilet,Building Level 3,Otara-Papatoetoe,Otara-Papatoetoe,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-809,21734-B002-152,Changing rooms,Ray Small Park,Changing Shed,Building Level 3,Papakura,Papakura,650000.0,2,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-810,11161-B004-152,Mclennan Chngrms 3&4-Furthest frm carprk,Mclennan Park,Changing Shed,Building Level 3,Papakura,Papakura,650000.0,2,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-811,11021-B001-152,Toilet-(on side of Cafe),Caravan Park (The Promenade),Public Toilet,Building Level 3,Devonport-Takapuna,Devonport-Takapuna,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-812,10714-B002-152,Ngati Otara Changing Rooms,Ngati Otara Park,Changing Shed,Building Level 3,Otara-Papatoetoe,Otara-Papatoetoe,650000.0,2,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-813,11211-B002-100,Changing Room,Wellsford Centennial Park,Changing Shed,Building Level 3,Rodney,Rodney,650000.0,2,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-814,10627-B001-153,Omana Park Changerooms,Omana Park,Changing Shed,Building Level 3,Otara-Papatoetoe,Otara-Papatoetoe,650000.0,2,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-815,10179-B004-151,Toilet - Cnr Mt Eden Rd and Summit Dr,Maungawhau/Mount Eden,Public Toilet,Building Level 3,Albert-Eden,Albert-Eden,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-816,10362-B002-151,Toilet -T42 (One Tree Hill Domain),Maungakiekie/One Tree Hill,Public Toilet,Building Level 3,Maungakiekie-Tamaki,Maungakiekie-Tamaki,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-817,10444-B007-151,Nicholson Park Toilet by Courts,Nicholson Park,Public Toilet,Building Level 3,Albert-Eden,Albert-Eden,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-818,21650-B001-152,Rongomai Sports Centre -Toilet,Rongomai Park,Public Toilet,Building Level 3,Otara-Papatoetoe,Otara-Papatoetoe,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-819,10593-B001-151,ÅŒhuiarangi Toilets - next to sportsfield,Ohuiarangi/Pigeon Mountain,Public Toilet,Building Level 3,Howick,Howick,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-821,11344-B001-100,Changing Rm-(Royal Reserve),Royal Reserve,Changing Shed,Building Level 3,Henderson-Massey,Henderson-Massey,650000.0,2,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-822,10544-B001-152,Changing room area,Karioitahi Reserve,Changing Shed,Building Level 3,Franklin,Franklin,650000.0,2,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-824,10479-B050-151,Portacom-toilet facility,Te Haruhi/Shakespear Regional Park,Public Toilet,Building Level 3,Hibiscus and Bays,Hibiscus and Bays,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
