scenario,planning_area,portfolio_assets,assets_with_modelled_loss,illustrative_portfolio_value_nzd,expected_annual_loss_nzd,local_board_group,households_2022,households_2052,population_2022,population_2052,employment_2022,employment_2052,households_growth_rate,households_cagr,population_growth_rate,population_cagr,employment_growth_rate,employment_cagr,growth_data_mapped,auckland_population_growth_rate,above_auckland_population_growth,future_population_eal_per_1000_nzd
slr_1m,Maungakiekie-Tamaki,65,8,85100000.0,250895.25,Maungakiekie-Tamaki,29830.0,47495.0,84970.0,141326.0,99831.0,132050.0,0.5921890714046263,0.015624466720387087,0.6632458514769919,0.017103654986858174,0.3227354228646413,0.009366994327007161,True,0.35249722687603824,True,1775.2943548957728
slr_1m,Mangere-Otahuhu,94,6,111300000.0,243380.5,Mangere-Otahuhu,23011.0,35719.0,86650.0,126436.0,48266.0,63445.0,0.5522576159228194,0.014764953991187824,0.4591575302942874,0.01267496280228464,0.3144863879335349,0.009156533893873053,True,0.35249722687603824,True,1924.9303995697428
slr_1m,Kaipatiki,97,5,92750000.0,167823.0,Kaipatiki,30839.0,35092.0,90120.0,97841.0,34001.0,44264.0,0.13790978955219035,0.004315721401893624,0.08567465601420321,0.0027438105945465363,0.3018440634098998,0.008831495213859952,True,0.35249722687603824,False,1715.262517758404
slr_1m,Upper Harbour,89,5,44550000.0,152998.5,Upper Harbour,22531.0,37756.0,69720.0,107096.0,56384.0,83177.0,0.675735653100173,0.017357326477363877,0.5360872059667241,0.01441079553241309,0.4751879965947787,0.013043853009811146,True,0.35249722687603824,True,1428.610779114066
slr_1m,Whau,74,3,72200000.0,111882.0,Whau,29740.0,36284.0,87680.0,105504.0,30809.0,40942.0,0.2200403496973773,0.006651487930936506,0.20328467153284668,0.006187565840831466,0.3288974001103573,0.00952338072175607,True,0.35249722687603824,False,1060.4526842584169
slr_1m,Henderson-Massey,135,4,162770000.0,72219.75,Henderson-Massey,41279.0,60910.0,124940.0,173837.0,42597.0,56318.0,0.47556869110201316,0.01305256629777829,0.39136385465023205,0.011070309249504362,0.322111885813555,0.00935113020301137,True,0.35249722687603824,True,415.4452159206613
slr_1m,Puketapapa,49,2,33900000.0,69926.25,Puketapapa,19053.0,29696.0,59880.0,92369.0,14478.0,20208.0,0.5585996955859969,0.01490288309601251,0.5425684702738811,0.01455317662946598,0.39577289680895156,0.011176944141868095,True,0.35249722687603824,True,757.0315798590435
slr_1m,Albert-Eden,89,2,76450000.0,46770.75,Albert-Eden,33031.0,53320.0,97440.0,158749.0,53880.0,78402.0,0.6142411673882111,0.016090241949744843,0.6291974548440065,0.016402654862716748,0.4551224944320713,0.01258149217291371,True,0.35249722687603824,True,294.6207535165576
slr_1m,Manurewa,85,1,75250000.0,27970.5,Manurewa,30654.0,36889.0,106540.0,124787.0,28283.0,34941.0,0.2033992301167873,0.006190758826433607,0.1712690069457481,0.005283501469357743,0.2354064278895449,0.007071553089467608,True,0.35249722687603824,False,224.14594468975133
slr_1m,Papakura,79,1,63650000.0,27970.5,Papakura,22694.0,29454.0,69511.0,83085.0,20997.0,27384.0,0.29787609059663356,0.008728847873299861,0.1952784451381795,0.0059636846053874315,0.304186312330333,0.008891944903478333,True,0.35249722687603824,False,336.64921465968587
slr_1m,Unmapped / not supplied,7,1,2400000.0,10852.5,,,,,,,,,,,,,,False,0.35249722687603824,False,
slr_1m,Otara-Papatoetoe,88,0,136250000.0,0.0,Otara-Papatoetoe,26074.0,31588.0,93000.0,106648.0,52628.0,78686.0,0.2114750325995245,0.00641511099050418,0.1467526881720429,0.004574906364597675,0.49513566922550734,0.013497511660338857,True,0.35249722687603824,False,0.0
slr_1m_mitigated,Rodney,185,39,157250000.0,915137.6,Rodney,30554.0,40997.0,83210.0,101312.0,24598.0,38543.0,0.34178830922301495,0.009848287773313702,0.21754596803268833,0.006582816496273791,0.5669160094316612,0.01508292846559356,True,0.35249722687603824,False,9032.864813644977
slr_1m_mitigated,Franklin,200,34,135050000.0,636736.5875,Franklin,31581.0,67889.0,88710.0,175511.0,31010.0,47643.0,1.149678604224059,0.025838791885912427,0.9784804418893023,0.023004927031769595,0.536375362786198,0.014417138116938677,True,0.35249722687603824,True,3627.9013138777627
slr_1m_mitigated,Orakei,78,20,61700000.0,369121.1875,Orakei,30689.0,40961.0,84380.0,111950.0,26323.0,36299.0,0.33471276353090684,0.009670328700274844,0.3267361934107609,0.009468610867064964,0.3789841583406146,0.010769144621694426,True,0.35249722687603824,False,3297.1968512728895
slr_1m_mitigated,Waitakere Ranges,102,18,90950000.0,365568.775,Waitakere Ranges,18529.0,19987.0,52910.0,55337.0,9078.0,11801.0,0.07868746289600081,0.00252802307213984,0.045870345870345774,0.0014960982278675594,0.29995593743115223,0.008782689125468313,True,0.35249722687603824,False,6606.2268464137915
slr_1m_mitigated,Hibiscus and Bays,133,22,211600000.0,350804.5125,Hibiscus and Bays,40478.0,48705.0,111660.0,123275.0,30666.0,39608.0,0.20324620781659175,0.006186493711298535,0.10402113559018455,0.0033040828956887314,0.291593295506424,0.008565696390487432,True,0.35249722687603824,False,2845.706854593389
slr_1m_mitigated,Waitemata,103,14,232200000.0,224283.6375,Waitemata,38232.0,68178.0,82920.0,146185.0,213115.0,303779.0,0.7832705586942874,0.019468726974499972,0.7629643029425952,0.01907962193126922,0.42542289374281483,0.01188569806248374,True,0.35249722687603824,True,1534.2452200978214
slr_1m_mitigated,Devonport-Takapuna,81,12,119000000.0,207342.0375,Devonport-Takapuna,21170.0,29895.0,57850.0,77549.0,37890.0,52120.0,0.4121398205007085,0.011569958717277284,0.3405185825410544,0.009816419404503618,0.375560833993138,0.010685403046123643,True,0.35249722687603824,False,2673.690666546313
slr_1m_mitigated,Waiheke-Great Barrier,65,11,56750000.0,192688.275,Waiheke-Great Barrier,5019.0,5335.0,10500.0,11698.0,4268.0,5160.0,0.06296074915321781,0.0020373450422213057,0.11409523809523803,0.0036079139040638974,0.20899718837863168,0.006346428644885105,True,0.35249722687603824,False,16471.89904257138
slr_1m_mitigated,Howick,124,11,118500000.0,167351.4375,Howick,48294.0,58467.0,153150.0,172989.0,75110.0,94489.0,0.21064728537706556,0.006392182122177292,0.1295396669931439,0.004068593524572783,0.25800825455997867,0.00768033428091397,True,0.35249722687603824,False,967.4108613842499
slr_1m_mitigated,Maungakiekie-Tamaki,65,8,85100000.0,163081.9125,Maungakiekie-Tamaki,29830.0,47495.0,84970.0,141326.0,99831.0,132050.0,0.5921890714046263,0.015624466720387087,0.6632458514769919,0.017103654986858174,0.3227354228646413,0.009366994327007161,True,0.35249722687603824,True,1153.9413306822523
slr_1m_mitigated,Mangere-Otahuhu,94,6,111300000.0,158197.325,Mangere-Otahuhu,23011.0,35719.0,86650.0,126436.0,48266.0,63445.0,0.5522576159228194,0.014764953991187824,0.4591575302942874,0.01267496280228464,0.3144863879335349,0.009156533893873053,True,0.35249722687603824,True,1251.204759720333
slr_1m_mitigated,Kaipatiki,97,5,92750000.0,109084.95,Kaipatiki,30839.0,35092.0,90120.0,97841.0,34001.0,44264.0,0.13790978955219035,0.004315721401893624,0.08567465601420321,0.0027438105945465363,0.3018440634098998,0.008831495213859952,True,0.35249722687603824,False,1114.9206365429625
slr_1m_mitigated,Upper Harbour,89,5,44550000.0,99449.025,Upper Harbour,22531.0,37756.0,69720.0,107096.0,56384.0,83177.0,0.675735653100173,0.017357326477363877,0.5360872059667241,0.01441079553241309,0.4751879965947787,0.013043853009811146,True,0.35249722687603824,True,928.5970064241428
slr_1m_mitigated,Whau,74,3,72200000.0,72723.3,Whau,29740.0,36284.0,87680.0,105504.0,30809.0,40942.0,0.2200403496973773,0.006651487930936506,0.20328467153284668,0.006187565840831466,0.3288974001103573,0.00952338072175607,True,0.35249722687603824,False,689.294244767971
slr_1m_mitigated,Henderson-Massey,135,4,162770000.0,46942.8375,Henderson-Massey,41279.0,60910.0,124940.0,173837.0,42597.0,56318.0,0.47556869110201316,0.01305256629777829,0.39136385465023205,0.011070309249504362,0.322111885813555,0.00935113020301137,True,0.35249722687603824,True,270.0393903484299
slr_1m_mitigated,Puketapapa,49,2,33900000.0,45452.0625,Puketapapa,19053.0,29696.0,59880.0,92369.0,14478.0,20208.0,0.5585996955859969,0.01490288309601251,0.5425684702738811,0.01455317662946598,0.39577289680895156,0.011176944141868095,True,0.35249722687603824,True,492.0705269083783
slr_1m_mitigated,Albert-Eden,89,2,76450000.0,30400.9875,Albert-Eden,33031.0,53320.0,97440.0,158749.0,53880.0,78402.0,0.6142411673882111,0.016090241949744843,0.6291974548440065,0.016402654862716748,0.4551224944320713,0.01258149217291371,True,0.35249722687603824,True,191.50348978576244
slr_1m_mitigated,Manurewa,85,1,75250000.0,18180.825,Manurewa,30654.0,36889.0,106540.0,124787.0,28283.0,34941.0,0.2033992301167873,0.006190758826433607,0.1712690069457481,0.005283501469357743,0.2354064278895449,0.007071553089467608,True,0.35249722687603824,False,145.69486404833836
slr_1m_mitigated,Papakura,79,1,63650000.0,18180.825,Papakura,22694.0,29454.0,69511.0,83085.0,20997.0,27384.0,0.29787609059663356,0.008728847873299861,0.1952784451381795,0.0059636846053874315,0.304186312330333,0.008891944903478333,True,0.35249722687603824,False,218.8219895287958
slr_1m_mitigated,Unmapped / not supplied,7,1,2400000.0,7054.125,,,,,,,,,,,,,,False,0.35249722687603824,False,
slr_1m_mitigated,Otara-Papatoetoe,88,0,136250000.0,0.0,Otara-Papatoetoe,26074.0,31588.0,93000.0,106648.0,52628.0,78686.0,0.2114750325995245,0.00641511099050418,0.1467526881720429,0.004574906364597675,0.49513566922550734,0.013497511660338857,True,0.35249722687603824,False,0.0
